"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Timestamp","Comments","Subplot","Veg_plot","In_out","Species","final_ID","Canopy_status","Maximum_DBH_estimate_when_tagged_cm","girdled.","Year","IRGA_covered_area","Asat_multiplier"
1,"12:07:26",235,0,0.518,0.000613,-947,0.00733,1.15,26.61,6,1.42,1,2.84,25.73,26.61,25.04,400.65,400.02,23.681,23.69,70.62,70.65,500.2,2000,1672,99.05,-3.39,0.61,0.036,0.00705,0.0528,0.0077,1,-0.22,2.74,1,0,0.16,111115,"0015_20200721",2020-07-21 12:03:54,"12:03:55 ; ","D04W","NE","i","pist",15,"sap",5,"n",2020,1.06,5.66
2,"12:07:27",236,0,0.343,0.000513,-667,0.00613,1.15,26.59,6,1.42,1,2.84,25.73,26.59,25.04,400.4,399.99,23.689,23.696,70.65,70.67,500.3,2000,1673,99.05,-3.39,0.61,0.036,0.00705,0.0528,0.0077,1,-0.22,2.74,1,0,0.16,111115,"0015_20200721",2020-07-21 12:03:54,"12:03:55 ; ","D04W","NE","i","pist",15,"sap",5,"n",2020,1.06,5.66
3,"12:07:28",237,0,0.234,0.000226,-1260,0.00269,1.15,26.59,6,1.42,1,2.84,25.73,26.59,25.04,400.19,399.91,23.698,23.701,70.68,70.69,500.3,2000,1674,99.05,-3.39,0.61,0.036,0.00705,0.0528,0.0077,1,-0.22,2.74,1,0,0.16,111115,"0015_20200721",2020-07-21 12:03:54,"12:03:55 ; ","D04W","NE","i","pist",15,"sap",5,"n",2020,1.06,5.66
4,"12:07:28",237.5,0,0.217,0.000169,-1640,0.00202,1.15,26.59,6,1.42,1,2.84,25.73,26.59,25.04,400.14,399.88,23.702,23.704,70.69,70.7,500.3,2000,1674,99.05,-3.39,0.61,0.036,0.00705,0.0528,0.0077,1,-0.22,2.74,1,0,0.16,111115,"0015_20200721",2020-07-21 12:03:54,"12:03:55 ; ","D04W","NE","i","pist",15,"sap",5,"n",2020,1.06,5.66
5,"12:07:29",238.5,0,0.309,-2.05e-06,239000,-2.44e-05,1.14,26.59,6,1.42,1,2.84,25.73,26.59,25.04,400.17,399.8,23.71,23.71,70.72,70.72,500.3,2000,1675,99.05,-3.39,0.61,0.036,0.00705,0.0528,0.0077,1,-0.22,2.74,1,0,0.16,111115,"0015_20200721",2020-07-21 12:03:54,"12:03:55 ; ","D04W","NE","i","pist",15,"sap",5,"n",2020,1.06,5.66
1,"12:00:51",306,0,1.16,0.0189,295,0.212,1.09,25.46,6,1.42,1,2.84,25.37,25.46,25.04,401.57,400.08,21.765,22.014,66.32,67.08,500.3,2001,323,99.07,-3.39,0.61,0.036,0.00705,0.0528,0.0077,0.7,-0.22,2.74,1,0,0.16,111115,"0019_20200721",2020-07-21 11:56:11,"11:56:13 ; ","D04W","NE","o","pire",19,"sap",2,"n",2020,0.94,6.4
2,"12:00:52",307,0,1.07,0.0189,303,0.212,1.09,25.45,6,1.42,1,2.84,25.37,25.45,25.04,401.4,400.02,21.764,22.013,66.32,67.08,500.3,2001,325,99.07,-3.39,0.61,0.036,0.00705,0.0528,0.0077,0.7,-0.22,2.74,1,0,0.16,111115,"0019_20200721",2020-07-21 11:56:11,"11:56:13 ; ","D04W","NE","o","pire",19,"sap",2,"n",2020,0.94,6.4
3,"12:00:52",308,0,1.03,0.0191,307,0.214,1.09,25.45,6,1.42,1,2.84,25.37,25.45,25.04,401.31,399.98,21.763,22.014,66.32,67.09,500.3,2001,327,99.07,-3.39,0.61,0.036,0.00705,0.0528,0.0077,0.7,-0.22,2.74,1,0,0.16,111115,"0019_20200721",2020-07-21 11:56:11,"11:56:13 ; ","D04W","NE","o","pire",19,"sap",2,"n",2020,0.94,6.4
4,"12:00:53",308.5,0,1.03,0.0193,308,0.216,1.09,25.45,6,1.42,1,2.84,25.37,25.45,25.04,401.28,399.94,21.762,22.015,66.32,67.09,500.3,2001,328,99.07,-3.39,0.61,0.036,0.00705,0.0528,0.0077,0.7,-0.22,2.74,1,0,0.16,111115,"0019_20200721",2020-07-21 11:56:11,"11:56:13 ; ","D04W","NE","o","pire",19,"sap",2,"n",2020,0.94,6.4
5,"12:00:54",309.5,0,1.06,0.0195,306,0.217,1.08,25.45,6,1.42,1,2.84,25.37,25.45,25.04,401.24,399.87,21.761,22.016,66.32,67.09,500.3,2001,329,99.07,-3.39,0.61,0.036,0.00705,0.0528,0.0077,0.7,-0.22,2.74,1,0,0.16,111115,"0019_20200721",2020-07-21 11:56:11,"11:56:13 ; ","D04W","NE","o","pire",19,"sap",2,"n",2020,0.94,6.4
1,"13:15:01",183.5,0,17.4,0.505,332,3.77,0.845,25.97,6,1.42,1,2.84,25.54,25.97,25.03,422.7,400.05,21.079,25.485,63.57,76.86,500.1,2000,86,99.02,-4.78,0.653,0.0723,0.00236,0.106,0.00258,1,-0.22,2.74,1,0,0.16,111115,"0077_20200721",2020-07-21 13:12:52,"13:12:53 ; ","D04W","SW","o","amel",77,"sap",3,"n",2020,6,1
