"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Timestamp","Comments","Subplot","Veg_plot","In_out","Species","final_ID","Canopy_status","Maximum_DBH_estimate_when_tagged_cm","girdled.","Year","IRGA_covered_area","Asat_multiplier"
1,"11:36:36",258,0,1.35,0.0281,313,0.526,1.82,26.44,6,1.42,1,2.84,25.6,26.44,25.04,402.49,400.62,15.993,16.614,48.02,49.89,500.2,2001,1701,98.92,-1.43,-0.243,0.248,0.0073,0.23,0.00606,0.7,-0.22,2.74,1,0,0.16,111115,"0015_20210709",2021-07-09 11:32:46,"11:32:48 ; ","D04W","NE","i","pist",15,"sap",5,"n",2021,0.839,7.151370679
2,"11:36:37",259,0,1.36,0.0282,312,0.527,1.82,26.44,6,1.42,1,2.84,25.6,26.44,25.04,402.49,400.61,15.995,16.617,48.02,49.89,500.2,2001,1700,98.92,-1.43,-0.243,0.248,0.0073,0.23,0.00606,0.7,-0.22,2.74,1,0,0.16,111115,"0015_20210709",2021-07-09 11:32:46,"11:32:48 ; ","D04W","NE","i","pist",15,"sap",5,"n",2021,0.839,7.151370679
3,"11:36:38",260,0,1.28,0.0281,316,0.525,1.82,26.44,6,1.42,1,2.84,25.6,26.44,25.04,402.37,400.58,15.999,16.619,48.04,49.9,500.2,2001,1699,98.92,-1.43,-0.243,0.248,0.0073,0.23,0.00606,0.7,-0.22,2.74,1,0,0.16,111115,"0015_20210709",2021-07-09 11:32:46,"11:32:48 ; ","D04W","NE","i","pist",15,"sap",5,"n",2021,0.839,7.151370679
4,"11:36:39",261,0,1.23,0.0279,319,0.521,1.82,26.44,6,1.42,1,2.84,25.6,26.44,25.04,402.19,400.46,16.003,16.618,48.05,49.89,500.2,2001,1698,98.92,-1.43,-0.243,0.248,0.0073,0.23,0.00606,0.7,-0.22,2.74,1,0,0.16,111115,"0015_20210709",2021-07-09 11:32:46,"11:32:48 ; ","D04W","NE","i","pist",15,"sap",5,"n",2021,0.839,7.151370679
5,"11:36:40",261.5,0,1.16,0.028,323,0.524,1.82,26.44,6,1.42,1,2.84,25.6,26.44,25.04,402.07,400.42,16.002,16.619,48.04,49.9,500.2,2000,1698,98.92,-1.43,-0.243,0.248,0.0073,0.23,0.00606,0.7,-0.22,2.74,1,0,0.16,111115,"0015_20210709",2021-07-09 11:32:46,"11:32:48 ; ","D04W","NE","i","pist",15,"sap",5,"n",2021,0.839,7.151370679
1,"11:30:22",297,0,1.51,0.0228,282,0.459,1.96,26.69,6,1.42,1,2.84,25.66,26.69,25.05,401.65,399.62,15.228,15.771,45.56,47.18,500.3,1999,1713,98.91,-1.43,-0.243,0.248,0.0073,0.23,0.00606,0.7,-0.22,2.74,1,0,0.16,111115,"0019_20210709",2021-07-09 11:25:56,"11:25:57 ; ","D04W","NE","o","pire",19,"sap",2,"n",2021,0.744,8.064516129
2,"11:30:23",298,0,1.5,0.0229,283,0.461,1.95,26.69,6,1.42,1,2.84,25.66,26.69,25.05,401.62,399.6,15.228,15.773,45.56,47.19,500.2,1999,1713,98.91,-1.43,-0.243,0.248,0.0073,0.23,0.00606,0.7,-0.22,2.74,1,0,0.16,111115,"0019_20210709",2021-07-09 11:25:56,"11:25:57 ; ","D04W","NE","o","pire",19,"sap",2,"n",2021,0.744,8.064516129
3,"11:30:24",299,0,1.52,0.0229,282,0.461,1.95,26.69,6,1.42,1,2.84,25.66,26.69,25.05,401.63,399.58,15.23,15.774,45.56,47.19,500.2,1998,1714,98.91,-1.43,-0.243,0.248,0.0073,0.23,0.00606,0.7,-0.22,2.74,1,0,0.16,111115,"0019_20210709",2021-07-09 11:25:56,"11:25:57 ; ","D04W","NE","o","pire",19,"sap",2,"n",2021,0.744,8.064516129
4,"11:30:25",300,0,1.58,0.0229,277,0.46,1.96,26.7,6,1.42,1,2.84,25.66,26.7,25.05,401.68,399.56,15.231,15.774,45.56,47.19,500.3,1999,1713,98.91,-1.43,-0.243,0.248,0.0073,0.23,0.00606,0.7,-0.22,2.74,1,0,0.16,111115,"0019_20210709",2021-07-09 11:25:56,"11:25:57 ; ","D04W","NE","o","pire",19,"sap",2,"n",2021,0.744,8.064516129
5,"11:30:26",300.5,0,1.62,0.0229,275,0.461,1.96,26.7,6,1.42,1,2.84,25.66,26.7,25.05,401.76,399.6,15.231,15.775,45.56,47.18,500.3,1999,1713,98.91,-1.43,-0.243,0.248,0.0073,0.23,0.00606,0.7,-0.22,2.74,1,0,0.16,111115,"0019_20210709",2021-07-09 11:25:56,"11:25:57 ; ","D04W","NE","o","pire",19,"sap",2,"n",2021,0.744,8.064516129
