"Subplot","Species","Calculation","Value","Date","final_ID","Year","girdled."
"A01E","acpe","NDVI","0.8191971",2018-08-02,2784,2018,"n"
"A01E","acpe","NPCI","0.03403609",2018-08-02,2784,2018,"n"
"A01E","acpe","RENDVI","0.323639",2018-08-02,2784,2018,"n"
"A01E","acpe","PRI","0.09753615",2018-08-02,2784,2018,"n"
"A01E","acpe","NDVI","0.8181329",2018-08-02,4019,2018,"n"
"A01E","acpe","NPCI","0.08322537",2018-08-02,4019,2018,"n"
"A01E","acpe","RENDVI","0.3762465",2018-08-02,4019,2018,"n"
"A01E","acpe","PRI","0.109413",2018-08-02,4019,2018,"n"
"A01E","acpe","NDVI","0.8345952",2018-08-02,4020,2018,"n"
"A01E","acpe","NPCI","0.1194174",2018-08-02,4020,2018,"n"
"A01E","acpe","RENDVI","0.3593551",2018-08-02,4020,2018,"n"
"A01E","acpe","PRI","0.1189562",2018-08-02,4020,2018,"n"
"A01E","acpe","NDVI","0.7990272",2018-08-02,4022,2018,"n"
"A01E","acpe","NPCI","0.1702605",2018-08-02,4022,2018,"n"
"A01E","acpe","RENDVI","0.2447977",2018-08-02,4022,2018,"n"
"A01E","acpe","PRI","0.08017812",2018-08-02,4022,2018,"n"
"A01E","acpe","NDVI","0.8421708",2018-08-02,2835,2018,"n"
"A01E","acpe","NPCI","0.1645767",2018-08-02,2835,2018,"n"
"A01E","acpe","RENDVI","0.3583747",2018-08-02,2835,2018,"n"
"A01E","acpe","PRI","0.1215334",2018-08-02,2835,2018,"n"
"A01E","acpe","NDVI","0.8367032",2018-08-02,2836,2018,"n"
"A01E","acpe","NPCI","0.1193959",2018-08-02,2836,2018,"n"
"A01E","acpe","RENDVI","0.3928725",2018-08-02,2836,2018,"n"
"A01E","acpe","PRI","0.1182737",2018-08-02,2836,2018,"n"
"A01E","acpe","NDVI","0.849291",2018-08-02,2838,2018,"n"
"A01E","acpe","NPCI","0.2041556",2018-08-02,2838,2018,"n"
"A01E","acpe","RENDVI","0.3705098",2018-08-02,2838,2018,"n"
"A01E","acpe","PRI","0.1245258",2018-08-02,2838,2018,"n"
"A01E","acpe","NDVI","0.8377189",2018-08-02,4025,2018,"n"
"A01E","acpe","NPCI","0.1766554",2018-08-02,4025,2018,"n"
"A01E","acpe","RENDVI","0.3746227",2018-08-02,4025,2018,"n"
"A01E","acpe","PRI","0.1220364",2018-08-02,4025,2018,"n"
"A01E","acpe","NDVI","0.8198655",2018-08-02,4026,2018,"n"
"A01E","acpe","NPCI","0.1771648",2018-08-02,4026,2018,"n"
"A01E","acpe","RENDVI","0.3097677",2018-08-02,4026,2018,"n"
"A01E","acpe","PRI","0.06697965",2018-08-02,4026,2018,"n"
"A01E","acpe","NDVI","0.8271505",2018-08-02,4027,2018,"n"
"A01E","acpe","NPCI","0.1528999",2018-08-02,4027,2018,"n"
"A01E","acpe","RENDVI","0.3476858",2018-08-02,4027,2018,"n"
"A01E","acpe","PRI","0.1150933",2018-08-02,4027,2018,"n"
"A01E","fagr","NDVI","0.8607987",2018-08-02,4023,2018,"n"
"A01E","fagr","NPCI","0.1931619",2018-08-02,4023,2018,"n"
"A01E","fagr","RENDVI","0.362693",2018-08-02,4023,2018,"n"
"A01E","fagr","PRI","0.1233175",2018-08-02,4023,2018,"n"
"A01E","fagr","NDVI","0.8585425",2018-08-02,4024,2018,"n"
