final_ID,leaf_sample,Subplot,Species,leaf_area_cm2,leaf_mass_g,LMA_gm2,Year
2784,1,A01E,acpe,188.4,0.4764,25.2866242,2018
4019,1,A01E,acpe,44.26,0.1001,22.61635789,2018
4020,1,A01E,acpe,192.95,0.4872,25.25006478,2018
4022,1,A01E,acpe,90.83,0.2366,26.04866234,2018
2835,1,A01E,acpe,176.1,0.3799,21.5729699,2018
2836,1,A01E,acpe,246.88,0.6031,24.42887233,2018
2838,1,A01E,acpe,170.88,0.3795,22.20856742,2018
4025,1,A01E,acpe,181.52,0.4404,24.26178933,2018
4026,1,A01E,acpe,123.93,0.2984,24.07810861,2018
4027,1,A01E,acpe,221.63,0.5947,26.83300997,2018
4023,1,A01E,fagr,61.16,0.1564,25.57226946,2018
4024,1,A01E,fagr,53.89,0.126,23.38096122,2018
4032,1,A01W,acpe,57.88,0.1624,28.05805114,2018
4035,1,A01W,acpe,222.56,0.6228,27.98346513,2018
2881,1,A01W,fagr,60.57,0.161,26.58081559,2018
2880,1,A01W,fagr,54.29,0.1429,26.32160619,2018
2883,1,A01W,fagr,50.13,0.1167,23.27947337,2018
2907,1,A01W,fagr,34.97,0.0799,22.84815556,2018
2906,1,A01W,fagr,94.72,0.2496,26.35135135,2018
4030,1,A01W,fagr,62.25,0.1685,27.06827309,2018
2934,1,A01W,fagr,68.38,0.1694,24.77332553,2018
4033,1,A01W,fagr,66.33,0.1881,28.35820896,2018
4036,1,A01W,fagr,88.94,0.2338,26.28738475,2018
4037,1,A01W,fagr,31.32,0.0882,28.16091954,2018
3092,1,A02E,acpe,66.44,0.1766,26.58037327,2018
3165,1,A02E,acpe,144.26,0.4278,29.65478996,2018
3249,1,A02E,acpe,99.08,0.2703,27.28098506,2018
3250,1,A02E,acpe,46.96,0.1239,26.38415673,2018
3252,1,A02E,acpe,142.89,0.4486,31.3947792,2018
3253,1,A02E,acpe,54.14,0.1887,34.85408201,2018
3254,1,A02E,acpe,39.47,0.094,23.81555612,2018
3246,1,A02E,acsa,68.94,0.176,25.52944589,2018
3089,1,A02E,fagr,38.48,0.0765,19.88045738,2018
3090,1,A02E,fagr,68.27,0.151,22.11806064,2018
3247,1,A02E,fagr,49.74,0.1297,26.07559308,2018
3248,1,A02E,fagr,35.29,0.1063,30.12184755,2018
3000,1,A02W,acpe,147.16,0.3622,24.61266649,2018
3001,1,A02W,acpe,92.88,0.2436,26.22739018,2018
4040,1,A02W,acpe,109.02,0.2556,23.44523941,2018
4041,1,A02W,acpe,192.32,0.4509,23.4452995,2018
4042,1,A02W,acpe,26.9,0.0745,27.69516729,2018
4043,1,A02W,acpe,23.42,0.0648,27.66865927,2018
4050,1,A02W,acpe,67.26,0.2333,34.686292,2018
4051,1,A02W,acpe,26.85,0.0896,33.37057728,2018
4052,1,A02W,acpe,99.39,0.3244,32.6390985,2018
4046,1,A02W,fagr,60.71,0.1953,32.1693296,2018
4047,1,A02W,fagr,76,0.2139,28.14473684,2018
4048,1,A02W,fagr,73.29,0.2576,35.14804202,2018
4002,1,A03E,acpe,203.84,0.6277,30.79375981,2018
3995,1,A03E,acsa,54.57,0.1443,26.4431006,2018
3996,1,A03E,fagr,40.65,0.101,24.84624846,2018
3997,1,A03E,fagr,57.04,0.1345,23.5799439,2018
3999,1,A03E,fagr,38.9,0.1067,27.42930591,2018
4000,1,A03E,fagr,50.47,0.1285,25.4606697,2018
2508,1,A03E,fagr,72.72,0.2285,31.42189219,2018
4003,1,A03E,fagr,63.03,0.154,24.43280977,2018
4004,1,A03E,fagr,80.38,0.2986,37.14854441,2018
2554,1,A03E,fagr,66.59,0.1661,24.94368524,2018
2552,1,A03E,fagr,42.85,0.0969,22.61376896,2018
2553,1,A03E,fagr,58.22,0.1645,28.25489523,2018
4006,1,A03W,acpe,210.31,0.657,31.23959869,2018
2388,1,A03W,acpe,45.27,0.102,22.5314778,2018
4009,1,A03W,acpe,166.96,0.516,30.90560613,2018
2362,1,A03W,fagr,73.67,0.2021,27.43314782,2018
4007,1,A03W,fagr,46.48,0.1228,26.41996558,2018
4010,1,A03W,fagr,37.8,0.1019,26.95767196,2018
4011,1,A03W,fagr,50.65,0.1575,31.09575518,2018
4012,1,A03W,fagr,24.9,0.0649,26.06425703,2018
4013,1,A03W,fagr,61.93,0.1745,28.176974,2018
4015,1,A03W,fagr,51.54,0.1296,25.14551804,2018
4016,1,A03W,fagr,44.19,0.1067,24.14573433,2018
4017,1,A03W,fagr,74.26,0.1722,23.18879612,2018
2684,1,A04E,acpe,35.34,0.0971,27.47594793,2018
4066,1,A04E,acpe,60.08,0.1799,29.94340879,2018
4067,1,A04E,acpe,66.52,0.1845,27.73601924,2018
2733,1,A04E,acpe,92.83,0.2216,23.87159323,2018
4071,1,A04E,acpe,70.4,0.1904,27.04545455,2018
4072,1,A04E,acpe,52.25,0.1116,21.35885167,2018
4073,1,A04E,acpe,210.09,0.5694,27.10267028,2018
4074,1,A04E,acpe,94.68,0.2425,25.61258978,2018
2708,1,A04E,fagr,50.62,0.1204,23.78506519,2018
2709,1,A04E,fagr,65.16,0.171,26.24309392,2018
2718,1,A04E,fagr,62.29,0.1434,23.02135174,2018
2760,1,A04E,fagr,59.53,0.1617,27.16277507,2018
2643,1,A04W,acsa,73.72,0.2045,27.74009767,2018
