Subplot,Canopy_NPP,Replicate,disturbance_severity,treatment,Year,stratum,log_can_NPP
A01E,3674.582561,A,85,bottom,2019,canopy,8.209194816
A01E,5648.132207,A,85,bottom,2020,canopy,8.639080187
A01E,2463.604555,A,85,bottom,2021,canopy,7.809380823
A01W,3113.404069,A,85,top,2019,canopy,8.043471962
A01W,4971.704196,A,85,top,2020,canopy,8.511517957
A01W,3290.731077,A,85,top,2021,canopy,8.098865031
A02E,1656.829078,A,45,top,2019,canopy,7.412660861
A02E,1672.076893,A,45,top,2020,canopy,7.421821781
A02E,1277.405075,A,45,top,2021,canopy,7.152586014
A02W,2805.570113,A,45,bottom,2019,canopy,7.939362046
A02W,3199.757746,A,45,bottom,2020,canopy,8.070830382
A02W,3449.119241,A,45,bottom,2021,canopy,8.145874185
A03E,2114.46151,A,65,bottom,2019,canopy,7.656555454
A03E,2658.150472,A,65,bottom,2020,canopy,7.885385849
A03E,1869.895334,A,65,bottom,2021,canopy,7.533637737
A03W,2593.031327,A,65,top,2019,canopy,7.860582867
A03W,2876.976581,A,65,top,2020,canopy,7.964495223
A03W,4630.208575,A,65,top,2021,canopy,8.440357195
A04E,2797.250484,A,0,bottom,2019,canopy,7.936392244
A04E,3675.329512,A,0,bottom,2020,canopy,8.209398071
A04E,4641.843222,A,0,bottom,2021,canopy,8.442866813
A04W,1670.475689,A,0,top,2019,canopy,7.420863709
A04W,2443.127601,A,0,top,2020,canopy,7.801034301
A04W,2429.53589,A,0,top,2021,canopy,7.795455526
B01E,1575.239571,B,0,bottom,2019,canopy,7.362162648
B01E,2419.491306,B,0,bottom,2020,canopy,7.791312593
B01E,2275.418052,B,0,bottom,2021,canopy,7.729919074
B01W,2008.628617,B,0,top,2019,canopy,7.605207488
B01W,2214.105962,B,0,top,2020,canopy,7.702603972
B01W,2069.369056,B,0,top,2021,canopy,7.634999036
B02E,3050.201397,B,45,top,2019,canopy,8.022962899
B02E,4318.578768,B,45,top,2020,canopy,8.370681638
B02E,3549.680467,B,45,top,2021,canopy,8.174612869
B02W,3205.318335,B,45,bottom,2019,canopy,8.072566689
B02W,3917.7727,B,45,bottom,2020,canopy,8.273278583
B02W,3314.782733,B,45,bottom,2021,canopy,8.10614736
B03E,1564.10758,B,85,bottom,2019,canopy,7.355070704
B03E,1648.368244,B,85,bottom,2020,canopy,7.407541134
B03E,1093.559226,B,85,bottom,2021,canopy,6.997193001
B03W,3920.864848,B,85,top,2019,canopy,8.274067533
B03W,4096.069523,B,85,top,2020,canopy,8.31778314
B03W,2924.696243,B,85,top,2021,canopy,7.980945906
B04E,3691.841085,B,65,top,2019,canopy,8.213880552
B04E,4903.037747,B,65,top,2020,canopy,8.49761024
