"subplot_id","NPP","severity","treatment","year","stratum","replicate"
"A01E",217.812700088122,"85","bottom","2019","subcanopy","A"
"A01E",571.474951147213,"85","bottom","2020","subcanopy","A"
"A01E",1509.29867877204,"85","bottom","2021","subcanopy","A"
"A01W",72.1116595141295,"85","top","2019","subcanopy","A"
"A01W",515.088828505507,"85","top","2020","subcanopy","A"
"A01W",701.34660645221,"85","top","2021","subcanopy","A"
"A02E",286.940172889729,"45","top","2019","subcanopy","A"
"A02E",330.517266095356,"45","top","2020","subcanopy","A"
"A02E",472.972698375324,"45","top","2021","subcanopy","A"
"A02W",248.105627884465,"45","bottom","2019","subcanopy","A"
"A02W",1167.89682332893,"45","bottom","2020","subcanopy","A"
"A02W",1800.84530940925,"45","bottom","2021","subcanopy","A"
"A03E",172.361186788055,"65","bottom","2019","subcanopy","A"
"A03E",409.015099923004,"65","bottom","2020","subcanopy","A"
"A03E",553.535470667768,"65","bottom","2021","subcanopy","A"
"A03W",317.758931316636,"65","top","2019","subcanopy","A"
"A03W",872.877837771571,"65","top","2020","subcanopy","A"
"A03W",2419.15668972434,"65","top","2021","subcanopy","A"
"A04E",210.033230971429,"0","bottom","2019","subcanopy","A"
"A04E",35.8218591983577,"0","bottom","2020","subcanopy","A"
"A04E",86.3479492515222,"0","bottom","2021","subcanopy","A"
"A04W",4.26211045872798,"0","top","2019","subcanopy","A"
"A04W",4.76402077289452,"0","top","2020","subcanopy","A"
"A04W",10.1999238782179,"0","top","2021","subcanopy","A"
"B01E",135.595780730776,"0","bottom","2019","subcanopy","B"
"B01E",191.768690106091,"0","bottom","2020","subcanopy","B"
"B01E",198.541659960978,"0","bottom","2021","subcanopy","B"
"B01W",319.67198470186,"0","top","2019","subcanopy","B"
"B01W",240.00411227412,"0","top","2020","subcanopy","B"
"B01W",672.351105468394,"0","top","2021","subcanopy","B"
"B02E",176.768588558249,"45","top","2019","subcanopy","B"
"B02E",315.539879766633,"45","top","2020","subcanopy","B"
"B02E",237.31002782555,"45","top","2021","subcanopy","B"
"B02W",92.8483424933737,"45","bottom","2019","subcanopy","B"
"B02W",272.399291724258,"45","bottom","2020","subcanopy","B"
"B02W",751.643548904468,"45","bottom","2021","subcanopy","B"
"B03E",56.3737627538861,"85","bottom","2019","subcanopy","B"
