Subplot,Veg_plot,In_out,Species,Filename,ID_tag_2018,ID_tag_added_2019_or_after,final_ID,Canopy_status,Maximum_DBH_estimate_when_tagged_cm,girdled?,Notes_2019,Notes_2020,Notes_2021
D04W,NE,i,pist,D04W_pist_01_07122018,15,NA,15,sap,5,n,,pinned to ground by fallen tree but still alive,
D04W,NE,i,pist,D04W_pist_02_07122018,16,NA,16,os,14,y,girdled,still sampled but replaced by #4610,still sampled this year
D04W,NE,o,pire,D04W_pire_01_07122018,19,NA,19,sap,2,n,,,
D04W,SE,o,pist,D04W_pist_04_07122018,60,NA,60,os,12,y,girdled ,still sampled this year but very sickly; replaced by #3298,"dead, not sampled this year"
D04W,SE,o,pist,D04W_pist_03_07122018,63,NA,63,os,15,y,girdled,still sampled this year but very sickly; replaced by #4611,"dead, not sampled this year"
D04W,SW,o,amel,D04W_amel_01_07122018,74,NA,74,sap,5,n,"dead tree, no low enough replacements",dead; added new tree #0077,
D04W,SW,o,amel,NA,NA,77,77,sap,3,n,,replacing dead #0074,
D04W,SW,i,pist,D04W_pist_05_07122018,99,NA,99,sap,4,n,,,
D04W,SW,o,pist,D04W_pist_07_07122018,100,NA,100,sap,2,n,,,
D04W,SW,i,pist,D04W_pist_06_07122018,101,NA,101,sap,4,n,,,
D04W,NW,o,pist,D04W_pist_08_07122018,131,NA,131,un,10,y,girdled,still sampled this year but very sickly; replaced by #4612,"dead, not sampled this year"
D04W,NW,o,pist,D04W_pist_09_07122018,133,NA,133,un,11,y,girdled,still sampled this year but very sickly; replaced by #4613,"dead, not sampled this year"
D04E,NE,o,acru,D04E_acru_01_07122018,148,NA,148,os,14,n,,not sampleable this year due to heavy herbivory; replaced by #0149,
D04E,NE,o,acru,NA,NA,149,149,NA,NA,n,,replacing unsampleable #0148,
D04E,NE,o,quru,D04E_quru_01_07122018,154,NA,154,un,10,n,,,
D04E,NE,i,pist,D04E_pist_01_07122018,160,NA,160,sap,2,n,,,
D04E,NE,i,pist,D04E_pist_02_07122018,161,NA,161,sap,6,n,,,
D04E,SE,i,pist,D04E_pist_03_07122018,174,NA,174,os,11,n,,,
D04E,SE,o,pist,D04E_pist_04_07122018,175,NA,175,os,11,n,,,
