"","Filename","final_ID","Species","Subplot","Veg_plot","In_out","Leaf_area_cm2","Leaf_mass_g","LMA_gm2","IRGA_covered_area","Asat_multiplier","Notes"
"1","A01E_acpe_01_08022018",2784,"acpe","A01E","NE","i",188.4,0.4764,25.2866242,6,1,""
"2","A01E_acpe_02_08022018",4019,"acpe","A01E","NE","i",44.26,0.1001,22.61635789,6,1,"2nd file on CID was an error; RESOLVED 11/27/18"
"3","A01E_acpe_03_08022018",4020,"acpe","A01E","NE","i",192.95,0.4872,25.25006478,6,1,""
"4","A01E_acpe_04_08022018",4022,"acpe","A01E","SE","o",90.83,0.2366,26.04866234,6,1,""
"5","A01E_acpe_05_08022018",2835,"acpe","A01E","SW","i",176.1,0.3799,21.5729699,6,1,""
"6","A01E_acpe_06_08022018",2836,"acpe","A01E","SW","i",246.88,0.6031,24.42887233,6,1,""
"7","A01E_acpe_07_08022018",2838,"acpe","A01E","SW","i",170.88,0.3795,22.20856742,6,1,""
"8","A01E_acpe_08_08022018",4025,"acpe","A01E","NW","i",181.52,0.4404,24.26178933,6,1,""
"9","A01E_acpe_09_08022018",4026,"acpe","A01E","NW","i",123.93,0.2984,24.07810861,6,1,""
"10","A01E_acpe_10_08022018",4027,"acpe","A01E","NW","o",221.63,0.5947,26.83300997,6,1,"very dried out"
"11","A01E_fagr_01_08022018",4023,"fagr","A01E","SE","o",61.16,0.1564,25.57226946,6,1,"shares base with #2808"
"12","A01E_fagr_02_08022018",4024,"fagr","A01E","SE","o",53.89,0.126,23.38096122,6,1,"actually splits below dbh; 1 to 2  cm stem"
"13","A01W_acpe_01_08022018",4032,"acpe","A01W","SW","o",57.88,0.1624,28.05805114,6,1,""
"14","A01W_acpe_02_08022018",4035,"acpe","A01W","NW","i",222.56,0.6228,27.98346513,6,1,""
"15","A01W_fagr_01_08022018",2881,"fagr","A01W","NE","i",60.57,0.161,26.58081559,6,1,""
"16","A01W_fagr_02_08022018",2880,"fagr","A01W","NE","i",54.29,0.1429,26.32160619,6,1,""
"17","A01W_fagr_03_08022018",2883,"fagr","A01W","NE","i",50.13,0.1167,23.27947337,6,1,""
"18","A01W_fagr_04_08022018",2907,"fagr","A01W","SE","i",34.97,0.0799,22.84815556,6,1,""
"19","A01W_fagr_05_08022018",2906,"fagr","A01W","SE","i",94.72,0.2496,26.35135135,6,1,""
"20","A01W_fagr_06_08022018",4030,"fagr","A01W","SE","i",62.25,0.1685,27.06827309,6,1,""
"21","A01W_fagr_07_08022018",2934,"fagr","A01W","SW","i",68.38,0.1694,24.77332553,6,1,""
"22","A01W_fagr_08_08022018",4033,"fagr","A01W","SW","o",66.33,0.1881,28.35820896,6,1,""
"23","A01W_fagr_09_08022018",4036,"fagr","A01W","NW","i",88.94,0.2338,26.28738475,6,1,""
"24","A01W_fagr_10_08022018",4037,"fagr","A01W","NW","i",31.32,0.0882,28.16091954,6,1,""
"25","A02E_acpe_01_08032018",3092,"acpe","A02E","NE","i",66.44,0.1766,26.58037327,6,1,"very dried out"
"26","A02E_acpe_02_08032018",3165,"acpe","A02E","SW","i",144.26,0.4278,29.65478996,6,1,"very dried out"
"27","A02E_acpe_03_08032018",3249,"acpe","A02E","SW","i",99.08,0.2703,27.28098506,6,1,"very dried out"
"28","A02E_acpe_04_08032018",3250,"acpe","A02E","SW","i",46.96,0.1239,26.38415673,6,1,"very dried out"
"29","A02E_acpe_05_08032018",3252,"acpe","A02E","NW","i",142.89,0.4486,31.3947792,6,1,"very dried out"
"30","A02E_acpe_06_08032018",3253,"acpe","A02E","NW","i",54.14,0.1887,34.85408201,6,1,"very dried out"
"31","A02E_acpe_07_08032018",3254,"acpe","A02E","NW","i",39.47,0.094,23.81555612,6,1,"very dried out"
"32","A02E_acsa_01_08032018",3246,"acsa","A02E","SE","o",68.94,0.176,25.52944589,6,1,"very dried out"
"33","A02E_fagr_01_08032018",3089,"fagr","A02E","NE","i",38.48,0.0765,19.88045738,6,1,"very dried out"
"34","A02E_fagr_02_08032018",3090,"fagr","A02E","NE","i",68.27,0.151,22.11806064,6,1,"very dried out"
"35","A02E_fagr_03_08032018",3247,"fagr","A02E","SE","o",49.74,0.1297,26.07559308,6,1,"very dried out; accidentally saved as fagr_04 on LICOR; then saved 04 as fagr_03. Not reordered in CID measurements.  The CID measurements reflect correct numbering; RESOLVED 11/27/18"
"36","A02E_fagr_04_08032018",3248,"fagr","A02E","SE","o",35.29,0.1063,30.12184755,6,1,"very dried out"
"37","A02W_acpe_01_08032018",3000,"acpe","A02W","NE","i",147.16,0.3622,24.61266649,6,1,""
"38","A02W_acpe_02_08032018",3001,"acpe","A02W","NE","i",92.88,0.2436,26.22739018,6,1,""
"39","A02W_acpe_03_08032018",4040,"acpe","A02W","NE","i",109.02,0.2556,23.44523941,6,1,""
"40","A02W_acpe_04_08032018",4041,"acpe","A02W","SE","i",192.32,0.4509,23.4452995,6,1,""
"41","A02W_acpe_05_08032018",4042,"acpe","A02W","SE","i",26.9,0.0745,27.69516729,6,1,""
"42","A02W_acpe_06_08032018",4043,"acpe","A02W","SE","i",23.42,0.0648,27.66865927,6,1,""
"43","A02W_acpe_07_08032018",4050,"acpe","A02W","NW","o",67.26,0.2333,34.686292,6,1,""
"44","A02W_acpe_08_08032018",4051,"acpe","A02W","NW","o",26.85,0.0896,33.37057728,6,1,""
"45","A02W_acpe_09_08032018",4052,"acpe","A02W","NW","o",99.39,0.3244,32.6390985,6,1,""
"46","A02W_fagr_01_08032018",4046,"fagr","A02W","SW","i",60.71,0.1953,32.1693296,6,1,""
"47","A02W_fagr_02_08032018",4047,"fagr","A02W","SW","o",76,0.2139,28.14473684,6,1,""
"48","A02W_fagr_03_08032018",4048,"fagr","A02W","SW","o",73.29,0.2576,35.14804202,6,1,""
"49","A03E_acpe_01_08032018",4002,"acpe","A03E","SW","o",203.84,0.6277,30.79375981,6,1,""
"50","A03E_acsa_01_08032018",3995,"acsa","A03E","NE","o",54.57,0.1443,26.4431006,6,1,""
"51","A03E_fagr_01_08032018",3996,"fagr","A03E","NE","o",40.65,0.101,24.84624846,6,1,""
"52","A03E_fagr_02_08032018",3997,"fagr","A03E","NE","o",57.04,0.1345,23.5799439,6,1,""
"53","A03E_fagr_03_08032018",3999,"fagr","A03E","SE","i",38.9,0.1067,27.42930591,6,1,""
