date,tag_number,leaf_area_cm2,leaf_mass_g,LMA_gm2,IRGA_covered_area,Asat_multiplier,initials,notes
7/23/2019,4037,61.26,0.1734,28.30558276,6,1,LH & AB,
7/23/2019,4036,101.42,0.2827,27.87418655,6,1,LH & AB,
7/23/2019,2883,35.8,0.0953,26.62011173,6,1,LH & AB,
7/23/2019,2880,60.08,0.17,28.29560586,6,1,LH & AB,
7/23/2019,2881,64.85,0.1859,28.66615266,6,1,LH & AB,
7/23/2019,2907,41.07,0.0995,24.22692963,6,1,LH & AB,
7/23/2019,4048,80.51,0.2715,33.72251894,6,1,LH & AB,
7/23/2019,4046,69.54,0.2046,29.42191544,6,1,LH & AB,
7/23/2019,4047,72.93,0.2109,28.91814068,6,1,LH & AB,
7/23/2019,4004,50.82,0.1677,32.99881936,6,1,LH & AB,
7/23/2019,3248,60.6,0.1733,28.59735974,6,1,LH & AB,
7/23/2019,3090,86.71,0.1967,22.68481144,6,1,LH & AB,
7/23/2019,3089,68.56,0.1473,21.48483081,6,1,LH & AB,
7/23/2019,3249,109.72,0.2715,24.74480496,6,1,LH & AB,
7/23/2019,3165,183.09,0.5021,27.42367142,6,1,LH & AB,
7/23/2019,3250,124.95,0.2784,22.28091236,6,1,LH & AB,
7/23/2019,3252,86.47,0.1867,21.59130334,6,1,LH & AB,
7/23/2019,4030,70.5,0.1877,26.62411348,6,1,LH & AB,
7/23/2019,3254,88.13,0.1859,21.09383865,6,1,LH & AB,
7/23/2019,4042,100.87,0.2232,22.12749083,6,1,LH & AB,
7/23/2019,4052,113.25,0.2907,25.66887417,6,1,LH & AB,
7/23/2019,4051,231.89,0.5641,24.32618914,6,1,LH & AB,
7/23/2019,4050,121.2,0.3758,31.00660066,6,1,LH & AB,
7/23/2019,3092,111.06,0.231,20.7995678,6,1,LH & AB,
7/23/2019,4032,80.62,0.2257,27.99553461,6,1,LH & AB,
7/23/2019,4033,58.91,0.184,31.23408589,6,1,LH & AB,
7/23/2019,3253,136.14,0.3505,25.74555605,6,1,LH & AB,
7/23/2019,2906,61.98,0.1626,26.23426912,6,1,LH & AB,
7/23/2019,4035,71.22,0.1704,23.92586352,6,1,LH & AB,
7/23/2019,2934,62.37,0.1765,28.29886163,6,1,LH & AB,
7/23/2019,4041,130.2,0.2959,22.7265745,6,1,LH & AB,
7/23/2019,4043,175.36,0.4083,23.28353102,6,1,LH & AB,
7/23/2019,3000,94.09,0.2268,24.10458072,6,1,LH & AB,
7/23/2019,3001,171.15,0.4259,24.88460415,6,1,LH & AB,
7/23/2019,4040,153.27,0.3297,21.51105892,6,1,LH & AB,
7/23/2019,3246,73.48,0.1813,24.67338051,6,1,LH & AB,
7/17/2019,2061,92,0.3028,32.91304348,6,1,LH & AB,
7/17/2019,3277,67.04,0.1726,25.74582339,6,1,LH & AB,
7/22/2019,4024,52.99,0.1565,29.53387432,6,1,LH & AB,
7/22/2019,2784,100.38,0.2495,24.85554891,6,1,LH & AB,
