date,plot_id,subplot_id,tag_number,leaf_area_cm2,leaf_mass_g,LMA_gm-2,IRGA_covered_area,Asat_multiplier,initials,comments,,
7/19/2021,A04,A04E,2684,112.45,0.2673,23.7705647,6,1,LTH,"corrected this label in 2021; in 2020 and possibly years prior, mislabeled as ""2648""",,
7/11/2021,D02,D02E,3286,34.03,0.1804,53.01204819,6,1,AIM,,,
7/11/2021,D02,D02E,3287,73.45,0.5174,70.44247788,6,1,AIM,,,
7/11/2021,D02,D02E,3288,35.16,0.1401,39.84641638,6,1,AIM,,,
7/11/2021,D02,D02E,3289,41.18,0.3089,75.01214182,6,1,AIM,,,
7/11/2021,D02,D02E,3290,37.35,0.1518,40.64257028,6,1,AIM,,,
7/11/2021,D02,D02E,3293,28.5,0.1833,64.31578947,6,1,AIM,,,
7/11/2021,D02,D02E,3294,40.42,0.1579,39.0648194,6,1,AIM,,,
7/20/2021,A03,A03E,4001,97.65,0.3202,32.7905786,6,1,LTH,new tree added in 2021,,
7/11/2021,D02,D02E,4622,74.94,0.3639,48.55884708,6,1,AIM,,,
7/14/2021,C04,C04W,4623,43.21,0.1243,28.76648924,6,1,AIM,,,
7/20/2021,A01,A01E,4627,110.11,0.2848,25.86504405,6,1,AIM,,,
7/20/2021,A01,A01W,4628,78.19,0.2379,30.42588566,6,1,AIM,,,
7/9/2021,D04,D04W,15,0.839,0.0142,169.2491061,0.839,7.151370679,LTH,,,
7/9/2021,D04,D04W,16,1.142,0.0166,145.3590193,1.142,5.253940455,LTH,,,
7/9/2021,D04,D04W,19,0.744,0.0169,227.1505376,0.744,8.064516129,LTH,,,
7/9/2021,D04,D04W,77,13.27,0.1435,108.1386586,6,1,LTH,"Actual tag number in 2020 and 2021 was 0077, not 0074",,
7/9/2021,D04,D04W,99,1.215,0.0127,104.526749,1.215,4.938271605,LTH,,,
7/9/2021,D04,D04W,100,1.284,0.0193,150.3115265,1.284,4.672897196,LTH,,,
7/9/2021,D04,D04W,101,1.25,0.0135,108,1.25,4.8,LTH,,,
7/9/2021,D04,D04E,149,38.1,0.2466,64.72440945,6,1,LTH,,,
7/9/2021,D04,D04E,154,90.4,0.4099,45.34292035,6,1,LTH,,,
7/9/2021,D04,D04E,160,0.83,0.0113,136.1445783,0.83,7.228915663,LTH,,,
7/9/2021,D04,D04E,161,0.637,0.0107,167.9748823,0.637,9.419152276,LTH,,,
7/9/2021,D04,D04E,174,0.773,0.0152,196.6364812,0.773,7.761966365,LTH,,,
7/9/2021,D04,D04E,175,0.926,0.0134,144.7084233,0.926,6.479481641,LTH,,,
7/9/2021,D04,D04E,196,1.041,0.0159,152.7377522,1.041,5.763688761,LTH,,,
7/11/2021,D02,D02W,242,39.62,0.1664,41.99899041,6,1,AIM,,,
7/11/2021,D02,D02W,259,1.383,0.0152,109.9060014,1.383,4.338394794,LTH,,,
7/11/2021,D02,D02W,277,0.663,0.0109,164.4042232,0.663,9.049773756,LTH,,,
