plot,Subplot,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,vai.mean,vai.sd,vai.median,vai.column.max,vai.max.ht.mean,vai.max.ht.sd,vai.max.ht.median,vai.max,vai.mean.peak,vai.peak.sd,vai.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.return.ht,sky.fraction,canopy.cover,max.ht,scan.density,rumple,gap.variables,enl,fhd,entropy,gini,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90
forte2021_A01E_EW.CSV,A01E,9.283036255,7.496106561,6.522287176,56.19161357,11.87272443,40,31.8,19.96555,26.5925,4.339895214,2.785241053,3.938439488,8,6.975,9.338334283,2,6.824764267,2.309950201,1.807102949,1.700778477,0,0,0.78030303,4237.670635,41.8213943,49.88628684,11.71815757,6.851674177,8.814901432,2.439,22.74960417,77.25039583,31.8,2147.525,10.5,0.880357875,20.78596144,2.492086487,8.621289193,1.250394978,62.6144502,65,16.18404926,158,3,-0.739642458,3.808505973,1.312,1.534,2.439,5.63325,23.406
forte2021_A01E_NS.CSV,A01E,3.944430387,2.721039145,3.096277765,7.40405403,4.772576218,40,32.171,8.6246,3.382,4.733210394,3.141878039,4.804642441,8,3.025,2.626174951,2,7.989192744,2.869937037,2.241727141,2.673885463,1,0.025,0.853030303,828.2625766,10.24831447,26.8930219,10.39532617,3.360251495,4.087025363,2.162,29.09007037,70.90992963,32.171,2547.3,8.025,0.688791355,11.11518015,1.862512532,6.464902856,1.182565602,57.9046724,60,12.44072393,112,0.835,-0.851415569,4.848607325,1.309,1.609,2.162,2.76,5.805
forte2021_A01W_EW.CSV,A01W,9.56332466,7.075208977,6.684962532,50.05858206,11.82569834,30,30.355,15.4224,14.243,6.71179484,1.958471111,8,8,9.066666667,8.997828601,4.5,7.484235834,3.548978746,1.860470375,3.131914494,0,0,0.752688172,2283.299945,31.46992824,35.95752441,11.34379576,6.331132113,7.074415895,2.627,7.304023916,92.69597608,30.355,2810,8.3,0.912863518,22.74290628,2.820661676,9.626808997,1.187935671,67.31994625,67,15.48755697,678,6,0.52283767,34.78293834,1.366,1.716,2.624,9.094,18.8898
forte2021_A01W_NS.CSV,A01W,5.066524027,4.054699468,4.25041056,16.44058777,6.457494777,40,28.561,11.0981,5.9655,5.388695642,3.169288369,7.906230946,8,4.65,4.742335246,3,7.997036514,3.396731797,2.416790241,3.510484101,0,0,0.814166667,294.7009112,9.264111547,14.45258276,10.16447554,3.844185838,4.229251614,2.465,21.09645305,78.90354695,28.561,2240.075,7.475,0.790236763,14.48558112,2.372878077,7.953987332,1.314095079,63.45131411,63,36.57341565,6820,2.619,150.6009137,26497.25171,1.388,1.719,2.465,3.51,8.816
forte2021_A02E_EW.CSV,A02E,6.270891675,3.703818399,4.981365134,13.71827073,7.259434989,40,25.857,8.73535,7.245,7.47067887,1.486269401,8,8,6.5,4.904210645,4.5,7.760835807,4.44930302,1.710360967,4.035175719,0,0,0.809259259,194.7002981,7.665430082,11.65939449,5.557125066,3.813961932,3.12875305,2.655,2.126217704,97.8737823,25.857,1770.875,5.5,0.761436554,11.18502899,2.53500065,8.245295855,1.347168531,66.7546884,65,31.06274395,7369,6,187.4196937,44057.71691,1.36,1.706,2.655,4.756,8.413
forte2021_A02E_NS.CSV,A02E,5.048796664,3.398825759,3.639090104,11.55201654,6.062471763,40,20.327,7.584475,4.127,6.944490873,2.185404743,8,8,4.625,4.155240744,3,8,4.684015421,2.104355023,4.934445903,0,0,0.816666667,223.1421285,7.417360484,12.96629831,6.388744309,3.295081358,3.179344788,2.385,6.616089232,93.38391077,20.327,1604.925,4.1,0.649457925,7.670116429,1.966987083,5.924466845,1.19080284,64.17420179,64,17.96905615,3061,0.655,77.69513615,12922.4436,1.558,1.839,2.385,2.833,5.219
forte2021_A02W_EW.CSV,A02W,6.49566642,5.126866951,4.087384258,26.28476473,8.235370535,40,41.785,15.3078,14.748,5.393783188,2.801006363,6.371504958,8,4.85,6.746509069,2,8,3.37760722,2.282430085,3.103239534,0,0,0.844767442,1734.517651,25.88048966,32.63001542,11.33830665,4.35956988,5.868615328,2.009,17.34088888,82.65911112,41.785,2192.775,9.25,0.82019921,18.57935887,2.220336654,8.287489655,1.142294958,60.01871952,61,257.1842169,69199,0.257,268.0048977,72048.43831,1.306,1.506,2.009,3.387,12.736
forte2021_A02W_NS.CSV,A02W,8.647451188,6.169584189,5.95901125,38.06376907,10.53275807,20,33.819,18.4843,21.775,5.440177841,2.831835909,6.812967908,8,6.9,6.835664985,3,7.989187997,3.485869316,2.530329066,3.723134388,0,0,0.761428571,2707.109497,35.60293276,37.94127931,14.1433387,6.653829023,8.149815307,2.156,17.03718023,82.96281977,33.819,2328,9,0.867573527,22.08155186,2.262853809,7.967559799,1.193799401,61.26585591,64,30.3118978,5207,3,126.5839448,21503.97417,1.307,1.731,2.156,11.581,17.339
forte2021_A03E_EW.CSV,A03E,10.50966101,5.540162398,11.4749289,30.6933994,11.84816606,40,29.233,17.44325,19.8565,6.492496593,2.629950127,8,8,10.075,7.714081363,9.5,7.688202289,3.195939129,2.043129979,2.962104953,0,0,0.680833333,1300.11617,27.50273292,23.31771541,7.898786651,6.820759645,6.411466424,4.403,13.89027431,86.10972569,29.233,1904.875,7.1,0.928284832,23.77840817,3.013979385,10.17307922,1.244567105,64.97754672,65,19.81714129,942,0.416,1.48134001,70.07682184,1.341,1.866,4.403,10.494,17.726
forte2021_A03E_NS.CSV,A03E,6.343633517,4.553808195,4.117479394,20.73716907,7.775630267,40,30.781,10.779025,4.8585,6.35803664,2.428470956,8,8,6.45,6.488451279,3,8,3.634855627,2.201511705,2.957051759,0,0,0.82265625,839.8080002,16.869325,23.56340116,9.588738522,4.373295119,5.155136175,2.319,8.087796731,91.91220327,30.781,1886.3,8.55,0.729772096,13.91547394,2.438916468,8.357917032,1.247331867,64.84266778,65,15.8610329,687,5.269,0.918681737,38.20224458,1.469,1.745,2.319,3.461,14.922
